Creator,SwallowIDs,URLs
"Elmslie, Susan",7963; 8288; 8297; 8721,http://viaf.org/viaf/4628858
"Elrick, Michelle",10794,http://viaf.org/viaf/21148449878815692708
"Elston, Birgit",13666,
"Elza, Daniela",10872; 13518; 8371; 8643; 8656; 8667; 9286,"http://viaf.org/viaf/102866662; https://viaf.org/viaf/102866662/#Elza,_Daniela"
"Emery, Curtis S.",12098,http://viaf.org/viaf/9496873
"Emery, Herb",9739,"https://viaf.org/viaf/657159474206627661835/#Emery,_Herb"
"Emezi, Akwaeke",8476,http://viaf.org/viaf/34150030539510960936
"Emily St. John, Mandel",10202,http://viaf.org/viaf/26544203
"Emmerton, Dorianne",11987; 8834; 8837; 8850; 8851; 8852; 8853,
"Emmett, Rik",9648,http://viaf.org/viaf/48861906
"Endicott, Marina",10200; 11218; 11221; 8758; 8903; 8905,"http://viaf.org/viaf/103357490; https://viaf.org/viaf/103357490/#Endicott,_Marina,_1958-...."
"Enfield, Tyler",9796,"https://viaf.org/viaf/316545702/#Enfield,_Tyler"
"Eng, Jean",10024,http://viaf.org/viaf/12159999528930110592
"Eng, Mercedes",13681; 9079,http://viaf.org/viaf/296403914
"Engbretson, Don",10073,
"Engebretson, Don",10073,http://viaf.org/viaf/90581180
"Engelson, Bill",13506,
"Enger, Thomas",9016,http://viaf.org/viaf/160071108
"Englander, Nathan",8804,http://viaf.org/viaf/97520065
"Englert, Síle",9808; 9809; 9810; 9832,"https://viaf.org/viaf/9161760362021641788/#Englert,_Si%CC%81le,_1980-"
"Englert, Síle",10140, http://viaf.org/viaf/9161760362021641788
"English, Sharon",12306; 9794,"http://viaf.org/viaf/43705037; https://viaf.org/viaf/43705037/#English,_Sharon,_1965-"
"Engström, Tyler",9991,http://viaf.org/viaf/230162902720077781558
"Engström, Tyler",11610; 9937; 9938,http://viaf.org/viaf/230162902720077781558
"Enns, Marlene",12525,
"Enright, Kristian",11054; 9254,http://viaf.org/viaf/260104544; https://viaf.org/viaf/260104544/
"Enright, Robert",12403,https://www.wikidata.org/wiki/Q19663261
"Ens, Sarah",10553; 11036; 11192; 11193; 12106; 12468; 13534; 9622; 9967,"http://viaf.org/viaf/390157523343027031174; https://viaf.org/viaf/390157523343027031174/#Ens,_Sarah,_1992-"
Enternet Boy,13645,
"Epp, Joanne",12262; 12332; 13222; 8414; 9960,http://viaf.org/viaf/313282801
"Epstein, Marcia Jenneth",9113,http://viaf.org/viaf/117509345
"Erasmus, Savannah",10239,
"Erdogan, Asli",13982,http://viaf.org/viaf/76472947
"Erdrich, Louise",8561,http://viaf.org/viaf/110425107
Eric,12558,
"Erickson, Bruce",12333,http://viaf.org/viaf/270729880
"Erickson, Michael",8445,
"Erregue-Sacchi, Luciana",13322; 9479,"http://viaf.org/viaf/10163088717794542634; https://viaf.org/viaf/10163088717794542634/#Erregue-Sacchi,_Luciana"
"Esonwune,  Paula",8269,
"Espada, Martín",10098,http://viaf.org/viaf/97801038
"Essery, Isis",11873,
"Estabrooks, Josef",12459; 13316,
"Estacion, Therese",13907; 13908; 13910; 8305; 9417; 9604,http://viaf.org/viaf/27161096341429100570
"Ethari, Lamees Al",11633; 13657,http://viaf.org/viaf/18156675108333581113
"Etizaz, Saba",13358,
"Ettarnichi, Ali",8270,
"Eugene, Lim",8523,http://viaf.org/viaf/5350152139992511100006
"Evanovich, Janet",12615,http://viaf.org/viaf/54180657
"Evans Shaw, Susan",13673,http://viaf.org/viaf/9280988
"Evans, Bill",9824,
"Evans, Christopher",11122,"https://viaf.org/viaf/42162781181765980040/#Evans,_Christopher_(Author_of_Nothing_could_be_further_from_the_truth)"
"Evans, Kahla",12412,
"Evans, Kellylee",9293,http://viaf.org/viaf/106693382
"Evans, Lesley-Anne",10256; 13466; 9993,http://viaf.org/viaf/21163629000223462961
"Evanson, Tanya",12722; 8553; 8566,http://viaf.org/viaf/106262394
"Evanson, Tawhida Tanya",8188; 8990,http://viaf.org/viaf/106262394
"Evaristo, Bernardine",12505,http://viaf.org/viaf/92536933
"Eve, DK",13462,
"Everest, Clay",10295,
"Everett, Sarah",10855,http://viaf.org/viaf/80147662848860550349
"Exposito, Suzy",7967,
"Eyamie, Jeffrey John",12273,http://viaf.org/viaf/1219145857083322921575
"Faber, Alyda",13897,http://viaf.org/viaf/104146634497541932610
"Fabrice, Koffy",8186,http://viaf.org/viaf/147708159
"Fadden, Robyn",9946,
"Fagan, Carrie",12699; 12713,http://viaf.org/viaf/18146857
"Fahner, Kim",10600; 12098; 9904,http://viaf.org/viaf/106008254
"Faieta, Leah",9724,
"Fairbairn, Hazel",13549,
"Faith Berger, Tamara",7918, http://viaf.org/viaf/154147266869835482232
"Falaye, Deborah",10477,"https://viaf.org/viaf/17164717675702090227/#Falaye,_Deborah"
"Fallis, Terry",10398; 11570; 12465; 12794; 13448; 8882; 8883; 9382; 9414,http://viaf.org/viaf/1117160486104805180006; http://viaf.org/viaf/88500081
"Famà, Nino",10065,http://viaf.org/viaf/102837781
"Fan, David",9377,http://viaf.org/viaf/15157159762678790893
"Fan, Eric",10477; 13426; 9046,"http://viaf.org/viaf/311462753; https://viaf.org/viaf/311462753/#Fan,_Eric."
"Fan, Kit",12759,http://viaf.org/viaf/187359368
"Fan, Terry",10477; 13426; 9046,"http://viaf.org/viaf/16144782947151387428; http://viaf.org/viaf/311462753; https://viaf.org/viaf/16144782947151387428/#Fan,_Terry."
"Fantetti, Eufemia",11531; 11782; 13907; 13908,http://viaf.org/viaf/305192678
"Farah, Safy-Hallan",12059,http://viaf.org/viaf/59164187244318201246
"Farha, Leilani",13021,http://viaf.org/viaf/48873382
"Farina, Laura",8713,http://viaf.org/viaf/78513272
"Farkas, Endre",12889; 13611; 8343,http://viaf.org/viaf/115673614
"Farley, Claire",12112,http://viaf.org/viaf/5128148876461749740009
"Farmer, Sonia",10831,http://viaf.org/viaf/1464156762898041300005
"Farnel, Amanda",9570,
"Farnsworth, Vanessa",11496,http://viaf.org/viaf/305192602
"Farrant, M. A. C.",10973,http://viaf.org/viaf/6014354
"Farrant, M.A.C",13486,http://viaf.org/viaf/6014354
"Farrant, M.A.C.",8725; 9088,http://viaf.org/viaf/6014354
Fatuma,9081,
"Faulkner, Andrew",10477,"https://viaf.org/viaf/294912759/#Faulkner,_Andrew,_1984-"
"Favro, Terri",10477; 9973,"http://viaf.org/viaf/256445452; https://viaf.org/viaf/256445452/#Favro,_Terri"
"Fawcett, Katherine",10595; 11194; 11223; 11225; 11258; 11261; 11288; 11826; 13636; 9150,"http://viaf.org/viaf/9644160486099505180009; https://viaf.org/viaf/9644160486099505180009/#Fawcett,_Katherine,_1967-"
"Faye, Terina",13888,
"Feaster, Patrick",12239; 12804,http://viaf.org/viaf/21877397
"Feeney, Elaine",9696; 9812,http://viaf.org/viaf/152865887
"Fefferman, Stanley",9608; 9725; 9733,http://viaf.org/viaf/433150323884809972438
"Fejzić, Sanita",13624,http://viaf.org/viaf/66147662815160550392
"Felicien, Perdita",12724,http://viaf.org/viaf/1022157771967848930003
"Felix, Kate",10281,
"Felix, TJ",8672,
"Fellows, Christine",8332,http://viaf.org/viaf/80230878
"Feng, Linda Rui",10095; 10178; 10477; 9446,"http://viaf.org/viaf/314908517; https://viaf.org/viaf/314908517/#Feng,_Linda_Rui,_1975-"
"Fenton, Andre",10104; 10749; 10769; 8247; 8751; 8906,http://viaf.org/viaf/3152682515723312021
"Fergus Moore, Peter",8878,http://viaf.org/viaf/102768304
"Fergus, Maureen",12272; 9337,http://viaf.org/viaf/36695963
"Ferguson, Anne",12730; 12732; 12734,
"Ferguson, Genki",11123; 9062; 9435; 9439; 9853,"http://viaf.org/viaf/42160544555409981759; https://viaf.org/viaf/42160544555409981759/#Ferguson,_Genki"
"Ferguson, Jenny",11166,"https://viaf.org/viaf/5146094138900330744/#Ferguson,_Jenny,_1985-"
"Ferguson, Joel Robert",11041; 9970,"http://viaf.org/viaf/154158185632120060929; https://viaf.org/viaf/154158185632120060929/#Ferguson,_Joel_Robert,_1985-"
"Ferguson, Susan J.",10098,http://viaf.org/viaf/21390912
"Ferguson, Will",10197; 9019; 9294; 9646,http://viaf.org/viaf/77246016
"Fernandes, Jennifer Aja",8453,
"Fernandes, Miriam",12928,
"Fernandez, Raoul",13469,
"Ferrante, Elena",8570,http://viaf.org/viaf/32103009
"Ferrante, Paola",10772,"https://viaf.org/viaf/50155707014322411556/#Ferrante,_Paola"
"Ferrier, Ian",11766; 11767; 11768; 11769; 11770; 11772; 7964; 8172; 8175; 8176; 8177; 8178; 8179; 8180; 8183; 8184; 8186; 8187; 8188; 8189; 8190; 8256; 8336; 9617,http://viaf.org/viaf/91437046
"Ferris, Joshua",13028,http://viaf.org/viaf/44616259
"Ferro Rojas, Gerardo",13967,http://viaf.org/viaf/61338273
"Ferry, Scott",8273,http://viaf.org/viaf/658159474071627660208
"Feser, Dean",11223,
"Fiati, Sedina",13754,
"Fick, Marlon",10033,http://viaf.org/viaf/8497513
"Fick, Marlon L.",12109,http://viaf.org/viaf/8497513
"Field, Dorothy",8405,http://viaf.org/viaf/105712054
"Fielding, Joy",11298,"https://viaf.org/viaf/39376957/#Fielding,_Joy,_1945-"
"Figge, Fran",9618,http://viaf.org/viaf/296762286
"Figueroa, Kathy",9906,http://viaf.org/viaf/180152138618210982137
"Filmon, Gary",12406,http://viaf.org/viaf/105725224
"Filreis, Alan",12477,http://viaf.org/viaf/97812951
"Finbow, Alexander",12331,http://viaf.org/viaf/315546738
"Finkelman, Yoel",12917,http://viaf.org/viaf/49004280
"Finlay, Triny",10477; 12688; 9786; 9804,"http://viaf.org/viaf/44016166; https://viaf.org/viaf/44016166/#Finlay,_Triny,_1976-"
"Finlayson, Claire",13453; 8580,http://viaf.org/viaf/57158669745827200906
"Fiola, Chantal",12402,http://viaf.org/viaf/311457581
"Fiore Laroche, David",13599,http://viaf.org/viaf/209159397444719301567
"Fiorito, Joe",10024; 8921,http://viaf.org/viaf/79457314
"First Rider, Sheldon",13441,
"Fisette, Alain",9337,http://viaf.org/viaf/11076800
"Fisher, Kathy",11656,
"Fishman, Lisa",12108,http://viaf.org/viaf/53431132
"Fishman, Mark",9976,http://viaf.org/viaf/317096177
"Fisseha, Rebecca",11118; 13664; 9472; 9477,"http://viaf.org/viaf/32155564071513002299; https://viaf.org/viaf/32155564071513002299/#Fisseha,_Rebecca,_1980-"
"Fiszer, Doris",11622; 9942,http://viaf.org/viaf/128159032725301182113
"Fitch, Sheree",10230; 8904; 8906; 8908; 9148,http://viaf.org/viaf/40289336
"FitzHywel, Katherine",10294,
"Fitzpatrick, Jamie",12417,http://viaf.org/viaf/171391600
"Fitzpatrick, Ryan",10477; 11163; 9089,"http://viaf.org/viaf/31781851; https://viaf.org/viaf/31781851/#Fitzpatrick,_Ryan,_1978-...."
"Fizzell, J.L.",12723,
"Flaherty, Kate Marshall",10024; 10603; 13907; 8391; 9993,http://viaf.org/viaf/2285628
"Flavien, Janice",13926,http://viaf.org/viaf/4161028861023741085
"Flavin, Francis Edward",10152,http://viaf.org/viaf/5161209148139862114
"Fleming, Ally",8265,http://viaf.org/viaf/9156674866733580802
"Fleming, Jessica Lea",12716,
"Flemmer, Kyle",10025; 12060; 9004; 9086; 9118; 9810,"http://viaf.org/viaf/10152380107601762406; https://viaf.org/viaf/10152380107601762406/#Flemmer,_Kyle,_1988-"
"Fletcher, Bill, Jr.",10098,http://viaf.org/viaf/3158149108687268780007
"Fletcher, Raquel",12710; 12823,http://viaf.org/viaf/27157467990822322322
"Flett, Julie",11423,http://viaf.org/viaf/106533964
"Flood, Cynthia",8571; 9882,http://viaf.org/viaf/31156684
"Flood, John",13293,
"Floody, David",11831,http://viaf.org/viaf/87145003284761300068
"Florence, Elinor",10193,http://viaf.org/viaf/306379166
"Flores, C. E.",13288,
"Flores, Yvette",10536,
"Flushy, Clifton",12702,
"Fly, Sofia",13568,
"Foer, Jonathan Safran",11336,"https://viaf.org/viaf/85500702/#Foer,_Jonathan_Safran,_1977-...."
"Fogarty, Catherine",11949; 9535,"http://viaf.org/viaf/106595555; https://viaf.org/viaf/106595555/#Fogarty,_Catherine"
"Foggo, Cheryl",10860; 12421; 13405; 9031,http://viaf.org/viaf/71246050
"Follett, Beth",13665,http://viaf.org/viaf/106275506
"Fonda, Nick",11170,http://viaf.org/viaf/105605696
"Fong, Deanna",12480; 12577; 12578; 12579; 12654; 12769; 12797; 12798; 12799; 12800; 13962,http://viaf.org/viaf/102855198
"Fong, Nicole Raziya",11505; 9089; 9496,http://viaf.org/viaf/8154074373611740242
"Fong, Nicole Razıya",8241,http://viaf.org/viaf/8154074373611740242
"Fong, Peg",8677,
"Fontaine, Jerry",12284; 12463,http://viaf.org/viaf/262158790764538852172; https://www.wikidata.org/wiki/Q6183593
"Fontaine, Naomi",13136; 13154,http://viaf.org/viaf/168018669
"Fontaine, Phil",12463,http://viaf.org/viaf/106109023
"Fontaine, Tim",12760,
"Foo, Stephanie",13391,http://viaf.org/viaf/31163088400794541030
"Foon, Dennis",10930,"https://viaf.org/viaf/301390676/#Foon,_Dennis,_1951-"
"Foran, Charlie",8840,http://viaf.org/viaf/58954372
"Forbes, Alexander",9979,http://viaf.org/viaf/4150030543110961533
"Forbes, Andrew",9419,http://viaf.org/viaf/314894131
"Forbes, Liz",11886,http://viaf.org/viaf/56082409
"Ford, April",11766; 13602; 8345; 9859,"http://viaf.org/viaf/309826347; http://viaf.org/viaf/309826347/#Ford,_April"
"Ford, Kelli Jo",8569,http://viaf.org/viaf/10159234413303371849
"Ford, Richard",8752,http://viaf.org/viaf/109503268
"Ford, Scott A.",12991,http://viaf.org/viaf/190152138534410980641
"Forde, Deborah",8348,
"Forget, Evelyn",12414,http://viaf.org/viaf/39492334
"Forna, Namina",10377,"http://viaf.org/viaf/6519161763132922560005/#Forna,_Namina"
"Forsyth, Janice",10806,http://viaf.org/viaf/2117393
"Forsythe, Laura",12402,http://viaf.org/viaf/66153953296305562299
"Forsythe, Matthew",9334; 9517,http://viaf.org/viaf/102832182; http://viaf.org/viaf/7608159477720127990000
"Fortier, Anne",11162,http://viaf.org/viaf/36440304
"Fortier, Ashley",13975,
"Fortier, Vincent",10016,"http://viaf.org/viaf/427159474068027661020/#Fortier,_Vincent,_1983-"
"Foss, Krista",10006; 11640; 9557; 9994,http://viaf.org/viaf/304974127
"Foss, Mark",10037; 11703; 8187,http://viaf.org/viaf/61107671
"Foster, Clarise",12213,http://viaf.org/viaf/36684884
"Foster, Dawn",10098,http://viaf.org/viaf/223145541827296601999
"Foster, Norm",8958; 8960,http://viaf.org/viaf/73883926
"Fotheringham, Avonlea",7913,
"Fournier, Jamesie",11858,"https://viaf.org/viaf/13166596385017590786/#Fournier,_Jamesie"
"Fowles, Stacey May",8782,http://viaf.org/viaf/43767131
"Fox, Bevann",10648; 11365; 11972; 12962,"http://viaf.org/viaf/32158855691644141239; https://viaf.org/viaf/32158855691644141239/#Fox,_Bevann,_1968-"
"Fox, Kim",12798,
"Fox, Lori",11166,"https://viaf.org/viaf/17163936175000831252/#Fox,_Lori"
"Foy, Michael",11698; 7964; 8345,http://viaf.org/viaf/75809483
"Fradkin, Barbara",13670,http://viaf.org/viaf/73570055
"Francis, Brian",10293; 10341; 10477; 11683; 13377; 8269; 8834; 9544; 9867,"http://viaf.org/viaf/179979998; http://viaf.org/viaf/53538854; http://viaf.org/viaf/53538854/#Francis,_Brian,_1971-; https://viaf.org/viaf/53538854/#Francis,_Brian,_1971-"
"Francis, Mayann",10750,http://viaf.org/viaf/316787219
"Frank, Marcie",9445,http://viaf.org/viaf/42072674
"Frank, Simon",12028,
"Frankson, A. Gregory",11486; 11491; 11492; 11493, http://viaf.org/viaf/86293007; http://viaf.org/viaf/86293007
Franz,13632; 13750,
"Frascà, Paolo",8460,http://viaf.org/viaf/5912157470206922640004
"Fraser, Brad",10861; 11989,http://viaf.org/viaf/100415669
"Fraser, David",10110; 10257; 11465; 11663,http://viaf.org/viaf/115066396
"Fraser, Kathleen",11787; 11914; 8471; 8499; 8512; 8530; 8552; 8584,
"Fraser, Malcolm",9956,http://viaf.org/viaf/1021148705695437080007
"Fraser, Michael",10000; 10042; 10477; 9015; 9729,"http://viaf.org/viaf/106480426; http://viaf.org/viaf/1177159474327827662233; https://viaf.org/viaf/106480426/#Fraser,_Michael,_1969-"
"Fred, Randy",11899,http://viaf.org/viaf/1150159474219927662039
"Fredsti, Dana",8874,http://viaf.org/viaf/170621764
"Freedman, Aimee",10377,
"Freedman, Ariela",12881; 7886; 8297,http://viaf.org/viaf/17456875; http://viaf.org/viaf/21036311
"Freedman, S. M.",10313,http://viaf.org/viaf/175145003304061301100
"Freedman-Lawson, Saul",10479; 10519,"https://viaf.org/viaf/44162060491551402967/#Freedman-Lawson,_Saul"
"Freeman, Daniel",8194,http://viaf.org/viaf/96724864
"Freeman, J. Marshall",8444,http://viaf.org/viaf/10161096675129102385
"Freeman, John",8978,http://viaf.org/viaf/96724864
"Freeman, Victoria",13660,http://viaf.org/viaf/7034917
"Freiman, Kate",10477,"https://viaf.org/viaf/19256548/#Freiman,_Kate"
"French, Andrew",10759; 11576; 11590,http://viaf.org/viaf/90454622
"French, Whitney",12394,http://viaf.org/viaf/24154196789220112064
"Fretwell, Katerina",10256; 11656; 11667,"http://viaf.org/viaf/20914804; https://viaf.org/viaf/20914804/#Fretwell,_Katerina_Vaughan,_1944-"
"Fretwell, Kathy",10032,http://viaf.org/viaf/20914804
"Fricker, Karen",8961,http://viaf.org/viaf/274159820932014000000
"Frid, Alejandro",13468,http://viaf.org/viaf/315983387
"Friedman, Ann",12573; 9479,"http://viaf.org/viaf/9644160310473058300008; https://viaf.org/viaf/9644160310473058300008/#Friedman,_Ann"
"Friedman, Kathy",10477,"https://viaf.org/viaf/30163810540638822131/#Friedman,_Kathy"
"Friesen Hossack, Darcie",13637; 13646,http://viaf.org/viaf/106566358
"Friesen, Aileen",12430,http://viaf.org/viaf/5151654668608281610
"Friesen, Bernice",10034; 10460,http://viaf.org/viaf/45531526
"Friesen, Eric",9511; 9603,http://viaf.org/viaf/29085098
"Friesen, Patrick",10965; 11231; 11532; 11906; 8399; 8656; 9056; 9243," http://viaf.org/viaf/13576512; http://viaf.org/viaf/13576512; https://viaf.org/viaf/13576512/#Friesen,_Patrick,_1946-"
"Froese, Nadia",11590,
"Frohman, Denice",10098,https://www.wikidata.org/w/index.php?title=Q23303018&oldid=1446266740
"Froman, Karen",12441,
"Frutkin, Mark",12887,http://viaf.org/viaf/91547337
"Fryar, Christienna",10098,
"Fréchette, Caroline",11445,Permalink: http://viaf.org/viaf/308227291
"Fréchette, Nathan",11454,http://viaf.org/viaf/308227291
"Fréchette, Nathan Caro",11450; 11486; 8441,http://viaf.org/viaf/308227291
"Fu, Kim",10477,"https://viaf.org/viaf/305193689/#Fu,_Kim,_1987-"
"Fuechtmann, Danielle",10849,
"Fuentes LaRoche, Cristina",13974,
"Fulford, Annette",11892,
"Fulford, Sarah",12514,
"Fulton, Nora",9482,"http://viaf.org/viaf/305192573/#Fulton,_Nora_Collen,_1987-"
"Fulton, Warren D.",11835,http://viaf.org/viaf/61274527
"Fung, Richard",10411; 11587,http://viaf.org/viaf/33149106222768491869
"Funk, Carla",12427; 13323; 13324; 8619,http://viaf.org/viaf/23371776
"Funk, Julie",12479,
"Furey, Andrew",12652,http://viaf.org/viaf/15158548688416351162
"Furster, Laura",13659; 9906,http://viaf.org/viaf/12154257832324151371
"Fyson, Donald",12819,http://viaf.org/viaf/14666335
"Gabb, Vanessa Jimenez",12117,http://viaf.org/viaf/305148631497130412271
"Gabbert, Elisa",9571, http://viaf.org/viaf/100766348
"Gabereau, Vicki",11253,"https://viaf.org/viaf/104844374/#Gabereau,_Vicki"
"Gabriel, Katsi'tsákwas Ellen",11525,http://viaf.org/viaf/211159397460919302111
"Gabriel, Rosemary",12371; 12581,
"Gad-Nasr, Sophia",12564,
"Gagné, Natacha",13977,http://viaf.org/viaf/106243614
"Gagné, Paul",13923,http://viaf.org/viaf/29651134
"Gaia, Sita",13480,
"Gail Coles, Megan",8906; 8907,http://viaf.org/viaf/102812293
"Gaines, Samme",10233,
"Galbraith, Bree",9888,http://viaf.org/viaf/300217976
"Galgut, Damon",13373,http://viaf.org/viaf/87451615
"Gallagher, Ben",9913,
"Gallagher, Diane",11886,http://viaf.org/viaf/165151538
"Gallant, Devon",11703; 13584; 13585; 13586; 13587; 13588; 13589; 13590; 13591; 13592; 13593; 13594; 13595; 13596; 13597; 13598; 13599; 13600; 7886; 8288,http://viaf.org/viaf/15164600306037671113
"Gallant, Janet",9108,http://viaf.org/viaf/181161272254847442988
"Gallion, Aisha",13911,
"Galloway, Matt",10426,"http://viaf.org/viaf/300243629/#Galloway,_Matt"
"Galluccio, Steve",9840,"http://viaf.org/viaf/19934639/#Galluccio,_Steve,_1960-"
"Galway, Liam",8846,
"Gamboa, Santiago",13993,http://viaf.org/viaf/117423380
"Gammon, Carolyn",12681; 12689,http://viaf.org/viaf/73069994
"Gander, Forrest",12091,http://viaf.org/viaf/17296979
"Gane, Lorraine",11605,http://viaf.org/viaf/21543712
"Ganz, Rhonda",12483; 8377,http://viaf.org/viaf/331148996078859752172
"Gaona, Angye",8237,http://viaf.org/viaf/165145541822496600272
"Garad, Timaj",13571,
"Garand, Dominique",13992,http://viaf.org/viaf/7549759
"Garber, Rachel",10839; 11171,http://viaf.org/viaf/899159474342827662702
"Garcia, Flavia",13930,http://viaf.org/viaf/105627570
"Garcia, Gabriela",12931,http://viaf.org/viaf/11160362699763501682
"Gardner, Meredith",11290,
"Garebian, Keith",10036; 13652; 9939,http://viaf.org/viaf/55521626
"Garfinkle, Samara",11119; 11767; 13611,
"Garner, Samantha",10478; 11123; 13915; 9074,"http://viaf.org/viaf/11161632331710642970; https://viaf.org/viaf/11161632331710642970/#Garner,_Samantha_(Samantha_Kaisa)"
"Garnhum, Dennis",11591,http://viaf.org/viaf/53972472
"Garniss, Marc",9439,
"Garrabrant, Karen",13773,
"Garrard, JF",12558,http://viaf.org/viaf/308227591
"Garrett, Catherine",13750; 13817,
"Garrett, Leah",11715,"https://viaf.org/viaf/54393784/#Garrett,_Leah,_1966-"
"Garrido, Monica",11763,
Garrison Gary,10107, http://viaf.org/viaf/279733473
"Garrison, Gary",11458,
"Gartner, Zsuzsi",8620; 9397,http://viaf.org/viaf/60309536
"Garvia, Bailey",12667,https://www.wikidata.org/wiki/Q111033796
"Gasparini, Len",10039; 10066,http://viaf.org/viaf/60322648
"Gastant' Aucoin, Duane",11093,
"Gatchalian, C. E.",10406; 10584; 10588,http://viaf.org/viaf/106602811
"Gatchalian, C.E.",10411,http://viaf.org/viaf/106602811
"Gates, Michael",11094,"https://viaf.org/viaf/104091115/#Gates,_Michael"
"Gatwenzi, Aurore",11125; 9910; 9950,"http://viaf.org/viaf/28162178895407851840; https://viaf.org/viaf/28162178895407851840/#Gatwenzi,_Aurore"
"Gaucher, Dominique",13982,http://viaf.org/viaf/41946684
"Gaudet, L.V.",13260,
"Gaudet-Beauregard, Julie",8270,http://viaf.org/viaf/76634027
"Gauthier, CV",11836,
"Gautreau, Kimberly",8269,
"Gay, Marie-Louise",8969,http://viaf.org/viaf/27206554
"Gay, Mary-Louise",8948,http://viaf.org/viaf/27206554
"Gay, Roxane",8455; 9492,http://viaf.org/viaf/308698170; https://www.wikidata.org/wiki/Q16202911
"Gazan, Leah",10192,
"Geary, David",13763; 8647,http://viaf.org/viaf/19193237
"Gebremichael, Shimelis",9479,
"Gebrewold, Jacob",13749,
"Geddes, Gary",11617,http://viaf.org/viaf/94290892
"Gee, Bailey",11762,
"Gehl, Lynn",12235,http://viaf.org/viaf/306379226
"Geitzler, Kayla",10229; 10386; 8269,http://viaf.org/viaf/399150323705809970037
"Geller, Danielle",10972,http://viaf.org/viaf/14161149717434941806
"Gene Penner, Hayley",12569,https://www.wikidata.org/wiki/Q99399801
"Geniza, Keet",10536; 8447; 8767,"http://viaf.org/viaf/5158548694516351176; https://viaf.org/viaf/5158548694516351176/#Geniza,_Keet,_1987-"
"George, Anasimone",8284; 8435,
"George, Kallie",11390; 11413; 11414; 11415; 11416; 8480; 8646,http://viaf.org/viaf/106468065
"George, Lee",10077,http://viaf.org/viaf/56164295083808411366
"Georges, Karoline",11000,"https://viaf.org/viaf/20005574/#Georges,_Karoline,_1970-"
"Georgescu, Ioana",13964; 9892,http://viaf.org/viaf/29254011
"Gerard Marshall, Anne",11556,
"Gerbeza, Tea",13301,
"Gereaux, Tara",13055,http://viaf.org/viaf/317096431
"Germain, Brad",13666,
"Germaine, Mary",10085,http://viaf.org/viaf/14160120615040441044
"Gernes, Ulrikka S.",11231,"https://viaf.org/viaf/102542457/#Gernes,_Ulrikka_S."
"Gervais, Marty",11945,"https://viaf.org/viaf/32108950/#Gervais,_C._H._(Charles_Henry),_1946-"
"Gessen, Masha",12704,http://viaf.org/viaf/67288841
"Gevisser, Mark",12517,http://viaf.org/viaf/41993692
"Gewirtz, Abigail",11684,"https://viaf.org/viaf/45149912328106210313/#Gewirtz,_Abigail_H."
"Ghaderay, Holly",11988,http://viaf.org/viaf/9160307374757741838
"Ghadery, Hollay",10065; 10295; 11970; 13668,"http://viaf.org/viaf/9160307374757741838; https://viaf.org/viaf/9160307374757741838/#Ghadery,_Hollay"
"Ghai, Nilambri",13656,
"Ghan, Ben Berman",10477,"https://viaf.org/viaf/16164907981317852417/#Ghan,_Ben_Berman"
"Gharib, Malaka",7945,http://viaf.org/viaf/44155707006922410701
"Ghimire, Anuja",11463; 11567,"https://viaf.org/viaf/9495216/#Ghimire,_Anuj%C4%81_1982-"
"Ghosh, Amitav",13362,http://viaf.org/viaf/261269554
"Ghosh, Jayati",13388,http://viaf.org/viaf/67309671
"Ghosh, Suparna",10023; 9583; 9605; 9714; 9728; 9902, http://viaf.org/viaf/106696328; http://viaf.org/viaf/106696328
"Gibb, Camilla",11300; 12728; 9600,"http://viaf.org/viaf/98666826; https://viaf.org/viaf/98666826/#Gibb,_Camilla,_1968-...."
"Gibson, Chantal",13513; 13555; 8200; 8697; 8715,http://viaf.org/viaf/15983355
"Giese, Rachel",12998; 8602,http://viaf.org/viaf/12392958; http://viaf.org/viaf/379152743011527731870
"Gifford, James",10763,"https://viaf.org/viaf/88503077/#Gifford,_James,_1974-...."
"Gigot, Jami",9884,http://viaf.org/viaf/179144782717284149307
"Gilbert, Kerry",9108,http://viaf.org/viaf/2044148632968430630004
"Gilbert, Sky",10033; 8955,http://viaf.org/viaf/76367901
"Gilchrist, Claire",10084,http://viaf.org/viaf/22155224529384372838
"Giles, Morgan",8606,http://viaf.org/viaf/247149365978485600095
"Gill, Lakshmi",13625,http://viaf.org/viaf/71276865
"Gill, Marie-Andrée",11000; 13148; 13153; 13154; 8843," http://viaf.org/viaf/286747134; http://viaf.org/viaf/286747134; https://viaf.org/viaf/286747134/#Gill,_Marie-Andr%C3%A9e,_1986-"
"Gill, Thom",13668,
"Gillies,  Jennifer",9556,
"Gillies, Jennifer",10006; 10094,
"Gillis, Susan",10152,http://viaf.org/viaf/66154766
"Gillmor, Alison",12324; 9252,http://viaf.org/viaf/105465945
"Gilmer, Jeremy",8269,
"Gilmer, Jeremy Thomas",11527,
"Gilmor, Don",9429,http://viaf.org/viaf/28604564
"Gilmore, Ashley",13869; 13870; 13872; 13873; 13874; 13875; 13876; 13877; 13878; 13879; 13880; 13881; 13882; 13883; 13884; 13885; 13886; 13887; 13888; 13889; 13890,
"Gilpin-Jackson, Yabome",10240,http://viaf.org/viaf/2157701590944220903
"Giovanni, Ocean",8425; 8436,
"Giovannoni, David",12804,http://viaf.org/viaf/78923774
"Gipson, Ferren",12392,http://viaf.org/viaf/31163936159100831198
